"","item_number","description","category","item_link","minifigs_link","color_link","Name","ID","PriceLink","hexCode","gender","age","expression"
"1","3626px304","Minifigure, Head Beard Gray with Gray Eyebrows, Sideburns and Crow's Feet Wrinkles Pattern","2003","https://bricklink.com/v2/catalog/catalogitem.page?P=3626px304","https://www.bricklink.com/catalogItemIn.asp?P=3626px304&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626px304#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626px304&ColorID=3","#f3d000","male","old"," Sideburns and Crow's Feet Wrinkles Pattern"
"2","3626pb0173","Minifigure, Head Beard Stubble, Black Eyebrows, Wide Mouth, White Pupils Pattern","2003","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0173","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0173&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0173#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626pb0173&ColorID=3","#f3d000","male","no tag"," White Pupils Pattern"
"3","3626pb0161","Minifigure, Head Beard with Goatee, Unibrow and Eye Whites Pattern","2003","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0161","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0161&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0161#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626pb0161&ColorID=3","#f3d000","male","no tag"," Unibrow and Eye Whites Pattern"
"4","3626px132","Minifigure, Head Beard with Gray Hair, Moustache, and Angry Eyebrows Pattern","2003","https://bricklink.com/v2/catalog/catalogitem.page?P=3626px132","https://www.bricklink.com/catalogItemIn.asp?P=3626px132&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626px132#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626px132&ColorID=3","#f3d000","male","no tag"," and Angry Eyebrows Pattern"
"5","3626pb0055","Minifigure, Head Black Eyebrows, Large Eyes, Messy White Hair, Wide Lopsided Open Mouth Smile with Top Teeth and Gap Pattern","2003","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0055","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0055&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0055#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626pb0055&ColorID=3","#f3d000","no tag","no tag"," Wide Lopsided Open Mouth Smile with Top Teeth and Gap Pattern"
"6","3626pb0186","Minifigure, Head Black Eyebrows, Left Raised, Moustache and Sideburns Stubble, Lopsided Open Mouth Smile with Teeth and Lower Lip, Missing Tooth Pattern","2003","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0186","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0186&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0186#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626pb0186&ColorID=3","#f3d000","male","no tag"," Missing Tooth Pattern"
"7","3626px127","Minifigure, Head Black Eyebrows, Moustache with Upturned Ends, Goatee, Monocle, Red Scar, Angry Pattern","2003","https://bricklink.com/v2/catalog/catalogitem.page?P=3626px127","https://www.bricklink.com/catalogItemIn.asp?P=3626px127&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626px127#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626px127&ColorID=3","#f3d000","male","no tag"," Angry Pattern"
"8","3626px129","Minifigure, Head Black Thin Eyebrows, Curled Moustache, Hair with Bangs, Striped Sideburns and Chin Dimple, Small Lopsided Open Mouth Smile Pattern","2003","https://bricklink.com/v2/catalog/catalogitem.page?P=3626px129","https://www.bricklink.com/catalogItemIn.asp?P=3626px129&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626px129#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626px129&ColorID=3","#f3d000","male","no tag"," Small Lopsided Open Mouth Smile Pattern"
"9","3626pb0183","Minifigure, Head Female with Orient Jing Lee Pattern","2003","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0183","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0183&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0183#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626pb0183&ColorID=3","#f3d000","male","no tag"," Head Female with Orient Jing Lee Pattern"
"10","3626px128","Minifigure, Head Female with Red Lips, Brown Hair and Eyebrows Pattern","2003","https://bricklink.com/v2/catalog/catalogitem.page?P=3626px128","https://www.bricklink.com/catalogItemIn.asp?P=3626px128&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626px128#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626px128&ColorID=3","#f3d000","male","no tag"," Brown Hair and Eyebrows Pattern"
"11","3626pb0190","Minifigure, Head Female with Red Lips, Wide Smile, Small Eyelashes Pattern","2003","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0190","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0190&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0190#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626pb0190&ColorID=3","#f3d000","male","no tag"," Small Eyelashes Pattern"
"12","3626pb0122","Minifigure, Head Glasses Rectangular, Brown Thin Eyebrows, Smile Pattern","2003","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0122","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0122&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0122#T=C","Light Nougat",90,"https://www.bricklink.com/catalogPG.asp?P=3626pb0122&ColorID=90","#faccae","no tag","no tag"," Smile Pattern"
"13","3626pb0193","Minifigure, Head Glasses with Black Straight Eyebrows, Dark Bluish Gray Sunglasses with Silver Lenses, Grin Pattern","2003","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0193","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0193&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0193#T=C","Light Nougat",90,"https://www.bricklink.com/catalogPG.asp?P=3626pb0193&ColorID=90","#faccae","no tag","no tag"," Grin Pattern"
"14","3626pb0240","Minifigure, Head Glasses with Blue Glasses, Long Black Bangs and Open Mouth Pattern","2003","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0240","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0240&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0240#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626pb0240&ColorID=3","#f3d000","no tag","no tag"," Long Black Bangs and Open Mouth Pattern"
"15","3626pb0191","Minifigure, Head Glasses with Blue Sunglasses, Grim Face with Cheek Lines Pattern","2003","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0191","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0191&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0191#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626pb0191&ColorID=3","#f3d000","no tag","no tag"," Grim Face with Cheek Lines Pattern"
"16","3626pb0212","Minifigure, Head Glasses with Orange Sunglasses and Smirk Pattern","2003","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0212","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0212&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0212#T=C","Light Brown",91,"https://www.bricklink.com/catalogPG.asp?P=3626pb0212&ColorID=91",NA,"no tag","no tag"," Head Glasses with Orange Sunglasses and Smirk Pattern"
"17","3626pb0189","Minifigure, Head Goggles with Strap, Dimple, Determined with Teeth on Ends Pattern","2003","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0189","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0189&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0189#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626pb0189&ColorID=3","#f3d000","no tag","no tag"," Determined with Teeth on Ends Pattern"
"18","3626px302","Minifigure, Head Male Angry Eyebrows and Scowl, Black Chin and Left Cheek Dimples Pattern","2003","https://bricklink.com/v2/catalog/catalogitem.page?P=3626px302","https://www.bricklink.com/catalogItemIn.asp?P=3626px302&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626px302#T=C","Light Nougat",90,"https://www.bricklink.com/catalogPG.asp?P=3626px302&ColorID=90","#faccae","male","no tag"," Black Chin and Left Cheek Dimples Pattern"
"19","3626px303","Minifigure, Head Male Arched Eyebrow, White Teeth with Gold Tooth, Fine Stubble and Line under Mouth Pattern","2003","https://bricklink.com/v2/catalog/catalogitem.page?P=3626px303","https://www.bricklink.com/catalogItemIn.asp?P=3626px303&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626px303#T=C","Light Nougat",90,"https://www.bricklink.com/catalogPG.asp?P=3626px303&ColorID=90","#faccae","male","no tag"," Fine Stubble and Line under Mouth Pattern"
"20","3626px126","Minifigure, Head Male Black Hair, Eyebrows, and Small Grin Pattern","2003","https://bricklink.com/v2/catalog/catalogitem.page?P=3626px126","https://www.bricklink.com/catalogItemIn.asp?P=3626px126&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626px126#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626px126&ColorID=3","#f3d000","male","no tag"," and Small Grin Pattern"
"21","3626px130","Minifigure, Head Male Black Hair, Eyebrows, and Smirk Pattern","2003","https://bricklink.com/v2/catalog/catalogitem.page?P=3626px130","https://www.bricklink.com/catalogItemIn.asp?P=3626px130&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626px130#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626px130&ColorID=3","#f3d000","male","no tag"," and Smirk Pattern"
"22","3626pb0185","Minifigure, Head Male Dark Bluish Gray Bushy Eyebrows and Beard, Dimple, Long Scar Line, Open Mouth Scowl with Teeth Pattern","2003","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0185","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0185&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0185#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626pb0185&ColorID=3","#f3d000","male","no tag"," Open Mouth Scowl with Teeth Pattern"
"23","3626pb0179","Minifigure, Head Male Headband Red with Crooked Mouth with Teeth Pattern","2003","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0179","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0179&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0179#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626pb0179&ColorID=3","#f3d000","male","no tag"," Head Male Headband Red with Crooked Mouth with Teeth Pattern"
"24","3626pb0169","Minifigure, Head Male Orient China Guard Pattern","2003","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0169","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0169&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0169#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626pb0169&ColorID=3","#f3d000","male","no tag"," Head Male Orient China Guard Pattern"
"25","3626px133","Minifigure, Head Male Stubble, Black Messy Hair, and Angry Eyebrows Pattern","2003","https://bricklink.com/v2/catalog/catalogitem.page?P=3626px133","https://www.bricklink.com/catalogItemIn.asp?P=3626px133&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626px133#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626px133&ColorID=3","#f3d000","male","no tag"," and Angry Eyebrows Pattern"
"26","3626pb0195","Minifigure, Head Male Thin Grin, Black Eyes with White Pupils, No Eyebrows Pattern","2003","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0195","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0195&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0195#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626pb0195&ColorID=3","#f3d000","male","no tag"," No Eyebrows Pattern"
"27","3626pb0163","Minifigure, Head Male White Eyes, Black Eyegrease, Wavy Mouth Pattern","2003","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0163","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0163&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0163#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626pb0163&ColorID=3","#f3d000","male","no tag"," Wavy Mouth Pattern"
"28","3626pb0172","Minifigure, Head Moustache and Stubble Pattern, White Pupils, Eyebrows","2003","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0172","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0172&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0172#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626pb0172&ColorID=3","#f3d000","male","no tag"," Eyebrows"
"29","3626pb0174","Minifigure, Head Moustache Curly Long Thick, White Grin, Raised Eyebrows Pattern","2003","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0174","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0174&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0174#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626pb0174&ColorID=3","#f3d000","male","no tag"," Raised Eyebrows Pattern"
"30","3626px131","Minifigure, Head Moustache Fu Manchu, Black Hair, Eyebrows Pattern","2003","https://bricklink.com/v2/catalog/catalogitem.page?P=3626px131","https://www.bricklink.com/catalogItemIn.asp?P=3626px131&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626px131#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626px131&ColorID=3","#f3d000","male","no tag"," Eyebrows Pattern"
"31","3626pb0182","Minifigure, Head Moustache Fu Manchu, Cheek Bones Pattern (Emperor Chang Wu)","2003","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0182","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0182&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0182#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626pb0182&ColorID=3","#f3d000","male","no tag"," Cheek Bones Pattern (Emperor Chang Wu)"
"32","3626pb0165","Minifigure, Head Moustache Open Mouth, Goatee, V Brow Eyes, Black Hair, Stubble Pattern","2003","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0165","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0165&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0165#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626pb0165&ColorID=3","#f3d000","male","no tag"," Stubble Pattern"
"33","3626pb0112","Minifigure, Head Moustache Thin, Goatee, Long Eyebrow, Stubble Pattern","2003","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0112","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0112&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0112#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626pb0112&ColorID=3","#f3d000","male","no tag"," Stubble Pattern"
"34","3626pb0162","Minifigure, Head Moustache Thin, Small Goatee, Straight Unibrow Pattern","2003","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0162","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0162&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0162#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626pb0162&ColorID=3","#f3d000","male","no tag"," Straight Unibrow Pattern"
"35","3626pb0164","Minifigure, Head Moustache Thin, V Brow Eyes Pattern","2003","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0164","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0164&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0164#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626pb0164&ColorID=3","#f3d000","male","no tag"," V Brow Eyes Pattern"
"36","3626pb0144","Minifigure, Head NBA Allan Houston Pattern","2003","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0144","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0144&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0144#T=C","Brown",8,"https://www.bricklink.com/catalogPG.asp?P=3626pb0144&ColorID=8",NA,"no tag","no tag"," Head NBA Allan Houston Pattern"
"37","3626pb0140","Minifigure, Head NBA Allen Iverson Pattern","2003","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0140","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0140&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0140#T=C","Brown",8,"https://www.bricklink.com/catalogPG.asp?P=3626pb0140&ColorID=8",NA,"no tag","no tag"," Head NBA Allen Iverson Pattern"
"38","3626pb0154","Minifigure, Head NBA Antoine Walker Pattern","2003","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0154","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0154&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0154#T=C","Brown",8,"https://www.bricklink.com/catalogPG.asp?P=3626pb0154&ColorID=8",NA,"no tag","no tag"," Head NBA Antoine Walker Pattern"
"39","3626pb0143","Minifigure, Head NBA Chris Webber Pattern","2003","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0143","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0143&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0143#T=C","Brown",8,"https://www.bricklink.com/catalogPG.asp?P=3626pb0143&ColorID=8",NA,"no tag","no tag"," Head NBA Chris Webber Pattern"
"40","3626pb0138","Minifigure, Head NBA Dirk Nowitzki Pattern","2003","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0138","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0138&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0138#T=C","Nougat",28,"https://www.bricklink.com/catalogPG.asp?P=3626pb0138&ColorID=28","#f8ae79","no tag","no tag"," Head NBA Dirk Nowitzki Pattern"
"41","3626pb0139","Minifigure, Head NBA Gary Payton Pattern","2003","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0139","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0139&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0139#T=C","Brown",8,"https://www.bricklink.com/catalogPG.asp?P=3626pb0139&ColorID=8",NA,"no tag","no tag"," Head NBA Gary Payton Pattern"
"42","3626pb0151","Minifigure, Head NBA Jalen Rose Pattern","2003","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0151","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0151&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0151#T=C","Brown",8,"https://www.bricklink.com/catalogPG.asp?P=3626pb0151&ColorID=8",NA,"no tag","no tag"," Head NBA Jalen Rose Pattern"
"43","3626pb0132","Minifigure, Head NBA Jason Kidd Pattern","2003","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0132","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0132&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0132#T=C","Nougat",28,"https://www.bricklink.com/catalogPG.asp?P=3626pb0132&ColorID=28","#f8ae79","no tag","no tag"," Head NBA Jason Kidd Pattern"
"44","3626pb0147","Minifigure, Head NBA Jerry Stackhouse Pattern","2003","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0147","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0147&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0147#T=C","Brown",8,"https://www.bricklink.com/catalogPG.asp?P=3626pb0147&ColorID=8",NA,"no tag","no tag"," Head NBA Jerry Stackhouse Pattern"
"45","3626pb0142","Minifigure, Head NBA Karl Malone Pattern","2003","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0142","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0142&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0142#T=C","Brown",8,"https://www.bricklink.com/catalogPG.asp?P=3626pb0142&ColorID=8",NA,"no tag","no tag"," Head NBA Karl Malone Pattern"
"46","3626pb0149","Minifigure, Head NBA Kevin Garnett Pattern","2003","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0149","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0149&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0149#T=C","Brown",8,"https://www.bricklink.com/catalogPG.asp?P=3626pb0149&ColorID=8",NA,"no tag","no tag"," Head NBA Kevin Garnett Pattern"
"47","3626pb0131","Minifigure, Head NBA Kobe Bryant Pattern","2003","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0131","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0131&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0131#T=C","Brown",8,"https://www.bricklink.com/catalogPG.asp?P=3626pb0131&ColorID=8",NA,"no tag","no tag"," Head NBA Kobe Bryant Pattern"
"48","3626pb0136","Minifigure, Head NBA Pau Gasol Pattern","2003","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0136","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0136&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0136#T=C","Nougat",28,"https://www.bricklink.com/catalogPG.asp?P=3626pb0136&ColorID=28","#f8ae79","no tag","no tag"," Head NBA Pau Gasol Pattern"
"49","3626pb0146","Minifigure, Head NBA Paul Pierce Pattern","2003","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0146","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0146&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0146#T=C","Brown",8,"https://www.bricklink.com/catalogPG.asp?P=3626pb0146&ColorID=8",NA,"no tag","no tag"," Head NBA Paul Pierce Pattern"
"50","3626pb0150","Minifigure, Head NBA Predrag Stojakovic Pattern","2003","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0150","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0150&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0150#T=C","Nougat",28,"https://www.bricklink.com/catalogPG.asp?P=3626pb0150&ColorID=28","#f8ae79","no tag","no tag"," Head NBA Predrag Stojakovic Pattern"
"51","3626pb0135","Minifigure, Head NBA Ray Allen Pattern","2003","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0135","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0135&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0135#T=C","Brown",8,"https://www.bricklink.com/catalogPG.asp?P=3626pb0135&ColorID=8",NA,"no tag","no tag"," Head NBA Ray Allen Pattern"
"52","3626pb0152","Minifigure, Head NBA Shaquille O'Neal Pattern","2003","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0152","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0152&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0152#T=C","Brown",8,"https://www.bricklink.com/catalogPG.asp?P=3626pb0152&ColorID=8",NA,"no tag","no tag"," Head NBA Shaquille O'Neal Pattern"
"53","3626pb0141","Minifigure, Head NBA Steve Francis Pattern","2003","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0141","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0141&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0141#T=C","Brown",8,"https://www.bricklink.com/catalogPG.asp?P=3626pb0141&ColorID=8",NA,"no tag","no tag"," Head NBA Steve Francis Pattern"
"54","3626pb0148","Minifigure, Head NBA Steve Nash Pattern","2003","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0148","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0148&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0148#T=C","Nougat",28,"https://www.bricklink.com/catalogPG.asp?P=3626pb0148&ColorID=28","#f8ae79","no tag","no tag"," Head NBA Steve Nash Pattern"
"55","3626pb0134","Minifigure, Head NBA Tim Duncan Pattern","2003","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0134","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0134&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0134#T=C","Brown",8,"https://www.bricklink.com/catalogPG.asp?P=3626pb0134&ColorID=8",NA,"no tag","no tag"," Head NBA Tim Duncan Pattern"
"56","3626pb0133","Minifigure, Head NBA Toni Kukoc Pattern","2003","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0133","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0133&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0133#T=C","Nougat",28,"https://www.bricklink.com/catalogPG.asp?P=3626pb0133&ColorID=28","#f8ae79","no tag","no tag"," Head NBA Toni Kukoc Pattern"
"57","3626pb0153","Minifigure, Head NBA Tony Parker Pattern","2003","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0153","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0153&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0153#T=C","Brown",8,"https://www.bricklink.com/catalogPG.asp?P=3626pb0153&ColorID=8",NA,"no tag","no tag"," Head NBA Tony Parker Pattern"
"58","3626pb0145","Minifigure, Head NBA Tracy McGrady Pattern","2003","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0145","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0145&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0145#T=C","Brown",8,"https://www.bricklink.com/catalogPG.asp?P=3626pb0145&ColorID=8",NA,"no tag","no tag"," Head NBA Tracy McGrady Pattern"
"59","3626pb0137","Minifigure, Head NBA Vince Carter Pattern","2003","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0137","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0137&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0137#T=C","Brown",8,"https://www.bricklink.com/catalogPG.asp?P=3626pb0137&ColorID=8",NA,"no tag","no tag"," Head NBA Vince Carter Pattern"
"60","3626pb0117","Minifigure, Head NBA with Lips and Goatee and Hair Stripes Pattern","2003","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0117","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0117&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0117#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626pb0117&ColorID=3","#f3d000","male","no tag"," Head NBA with Lips and Goatee and Hair Stripes Pattern"
"61","3626pb0181","Minifigure, Head Reddish Brown Thick Eyebrows, Dimples and Chin Dimple, Lopsided Open Mouth Smile with Teeth Pattern","2003","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0181","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0181&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0181#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626pb0181&ColorID=3","#f3d000","no tag","no tag"," Lopsided Open Mouth Smile with Teeth Pattern"
